
TEST CASES
case	Адрес	Стоимость заказа	Высота заказа	Длина заказа	Ширина заказа	Вес заказа	pairings
Вес заказа	Стоимость заказа	0	10000	1	17
Вес заказа	Стоимость заказа	0	19999,99	3	25, 110, 168
Вес заказа	Стоимость заказа	0	20000	1	33
Вес заказа	Стоимость заказа	0	20000,01	2	43, 171
Вес заказа	Стоимость заказа	0	5000	2	51, 150
Вес заказа	Стоимость заказа	0	9999,99	1	59
Вес заказа	Стоимость заказа	0	10000,01	1	70
Вес заказа	Стоимость заказа	0	15000	2	81, 172
Вес заказа	Стоимость заказа	0	Не заполнено	1	93
Вес заказа	Стоимость заказа	0,001	0	2	10, 188
Вес заказа	Стоимость заказа	0,001	0,01	1	2
Вес заказа	Стоимость заказа	0,001	10000	1	26
Вес заказа	Стоимость заказа	0,001	19999,99	2	18, 169
Вес заказа	Стоимость заказа	0,001	20000	2	44, 185
Вес заказа	Стоимость заказа	0,001	20000,01	1	34
Вес заказа	Стоимость заказа	0,001	5000	1	60
Вес заказа	Стоимость заказа	0,001	9999,99	2	52, 142
Вес заказа	Стоимость заказа	0,001	10000,01	1	82
Вес заказа	Стоимость заказа	0,001	15000	1	71
Вес заказа	Стоимость заказа	0,001	Не заполнено	3	111, 151, 186
Вес заказа	Стоимость заказа	7,5	0	1	19
Вес заказа	Стоимость заказа	7,5	0,01	2	27, 83
Вес заказа	Стоимость заказа	7,5	10000	1	3
Вес заказа	Стоимость заказа	7,5	19999,99	2	11, 143
Вес заказа	Стоимость заказа	7,5	20000	2	53, 170
Вес заказа	Стоимость заказа	7,5	20000,01	2	61, 155
Вес заказа	Стоимость заказа	7,5	5000	1	35
Вес заказа	Стоимость заказа	7,5	9999,99	2	45, 153
Вес заказа	Стоимость заказа	7,5	10000,01	1	94
Вес заказа	Стоимость заказа	7,5	15000	1	101
Вес заказа	Стоимость заказа	7,5	Не заполнено	1	72
Вес заказа	Стоимость заказа	14,999	0	2	28, 73
Вес заказа	Стоимость заказа	14,999	0,01	1	20
Вес заказа	Стоимость заказа	14,999	10000	1	12
Вес заказа	Стоимость заказа	14,999	19999,99	2	4, 173
Вес заказа	Стоимость заказа	14,999	20000	2	62, 144
Вес заказа	Стоимость заказа	14,999	20000,01	1	54
Вес заказа	Стоимость заказа	14,999	5000	1	46
Вес заказа	Стоимость заказа	14,999	9999,99	3	36, 176, 180
Вес заказа	Стоимость заказа	14,999	10000,01	3	102, 179, 183
Вес заказа	Стоимость заказа	14,999	15000	2	95, 182
Вес заказа	Стоимость заказа	14,999	Не заполнено	1	84
Вес заказа	Стоимость заказа	15	0	2	37, 187
Вес заказа	Стоимость заказа	15	0,01	2	47, 74
Вес заказа	Стоимость заказа	15	10000	2	55, 189
Вес заказа	Стоимость заказа	15	19999,99	2	63, 174
Вес заказа	Стоимость заказа	15	20000	1	5
Вес заказа	Стоимость заказа	15	20000,01	2	13, 85
Вес заказа	Стоимость заказа	15	5000	2	21, 96
Вес заказа	Стоимость заказа	15	9999,99	3	29, 145, 184
Вес заказа	Стоимость заказа	15	10000,01	1	146
Вес заказа	Стоимость заказа	15	15000	1	147
Вес заказа	Стоимость заказа	15	Не заполнено	1	103
Вес заказа	Стоимость заказа	15,001	0	1	48
Вес заказа	Стоимость заказа	15,001	0,01	1	38
Вес заказа	Стоимость заказа	15,001	10000	2	64, 75
Вес заказа	Стоимость заказа	15,001	19999,99	1	56
Вес заказа	Стоимость заказа	15,001	20000	1	14
Вес заказа	Стоимость заказа	15,001	20000,01	1	6
Вес заказа	Стоимость заказа	15,001	5000	2	30, 86
Вес заказа	Стоимость заказа	15,001	9999,99	2	22, 175
Вес заказа	Стоимость заказа	15,001	10000,01	1	97
Вес заказа	Стоимость заказа	15,001	15000	1	104
Вес заказа	Стоимость заказа	15,001	Не заполнено	1	154
Вес заказа	Стоимость заказа	5	0	2	57, 139
Вес заказа	Стоимость заказа	5	0,01	1	65
Вес заказа	Стоимость заказа	5	10000	1	39
Вес заказа	Стоимость заказа	5	19999,99	1	49
Вес заказа	Стоимость заказа	5	20000	1	23
Вес заказа	Стоимость заказа	5	20000,01	2	31, 76
Вес заказа	Стоимость заказа	5	5000	2	7, 177
Вес заказа	Стоимость заказа	5	9999,99	2	15, 156
Вес заказа	Стоимость заказа	5	10000,01	1	87
Вес заказа	Стоимость заказа	5	15000	1	112
Вес заказа	Стоимость заказа	5	Не заполнено	1	158
Вес заказа	Стоимость заказа	9,999	0	2	66, 159
Вес заказа	Стоимость заказа	9,999	0,01	2	58, 161
Вес заказа	Стоимость заказа	9,999	10000	2	50, 162
Вес заказа	Стоимость заказа	9,999	19999,99	1	40
Вес заказа	Стоимость заказа	9,999	20000	2	32, 157
Вес заказа	Стоимость заказа	9,999	20000,01	1	24
Вес заказа	Стоимость заказа	9,999	5000	2	16, 77
Вес заказа	Стоимость заказа	9,999	9999,99	1	8
Вес заказа	Стоимость заказа	9,999	10000,01	1	105
Вес заказа	Стоимость заказа	9,999	15000	1	88
Вес заказа	Стоимость заказа	9,999	Не заполнено	1	98
Вес заказа	Стоимость заказа	10	0	1	78
Вес заказа	Стоимость заказа	10	0,01	1	89
Вес заказа	Стоимость заказа	10	10000	1	99
Вес заказа	Стоимость заказа	10	19999,99	1	124
Вес заказа	Стоимость заказа	10	20000	1	160
Вес заказа	Стоимость заказа	10	20000,01	1	128
Вес заказа	Стоимость заказа	10	5000	1	106
Вес заказа	Стоимость заказа	10	9999,99	1	132
Вес заказа	Стоимость заказа	10	10000,01	2	41, 117
Вес заказа	Стоимость заказа	10	15000	1	67
Вес заказа	Стоимость заказа	10	Не заполнено	3	113, 135, 148
Вес заказа	Стоимость заказа	10,001	0	1	90
Вес заказа	Стоимость заказа	10,001	0,01	1	79
Вес заказа	Стоимость заказа	10,001	10000	1	107
Вес заказа	Стоимость заказа	10,001	19999,99	1	100
Вес заказа	Стоимость заказа	10,001	20000	1	130
Вес заказа	Стоимость заказа	10,001	20000,01	1	163
Вес заказа	Стоимость заказа	10,001	5000	1	114
Вес заказа	Стоимость заказа	10,001	9999,99	2	136, 178
Вес заказа	Стоимость заказа	10,001	10000,01	1	68
Вес заказа	Стоимость заказа	10,001	15000	2	42, 181
Вес заказа	Стоимость заказа	10,001	Не заполнено	3	118, 121, 125
Вес заказа	Стоимость заказа	12,5	0	1	108
Вес заказа	Стоимость заказа	12,5	0,01	1	140
Вес заказа	Стоимость заказа	12,5	10000	1	80
Вес заказа	Стоимость заказа	12,5	19999,99	2	91, 166
Вес заказа	Стоимость заказа	12,5	20000	1	126
Вес заказа	Стоимость заказа	12,5	20000,01	1	164
Вес заказа	Стоимость заказа	12,5	5000	1	119
Вес заказа	Стоимость заказа	12,5	9999,99	1	137
Вес заказа	Стоимость заказа	12,5	10000,01	2	115, 133
Вес заказа	Стоимость заказа	12,5	15000	1	122
Вес заказа	Стоимость заказа	12,5	Не заполнено	1	69
Вес заказа	Стоимость заказа	Не заполнено	0	1	127
Вес заказа	Стоимость заказа	Не заполнено	0,01	1	109
Вес заказа	Стоимость заказа	Не заполнено	10000	1	92
Вес заказа	Стоимость заказа	Не заполнено	19999,99	2	131, 165
Вес заказа	Стоимость заказа	Не заполнено	20000	2	134, 141
Вес заказа	Стоимость заказа	Не заполнено	20000,01	2	149, 167
Вес заказа	Стоимость заказа	Не заполнено	5000	1	123
Вес заказа	Стоимость заказа	Не заполнено	9999,99	2	138, 152
Вес заказа	Стоимость заказа	Не заполнено	10000,01	1	116
Вес заказа	Стоимость заказа	Не заполнено	15000	1	120
Вес заказа	Стоимость заказа	Не заполнено	Не заполнено	1	129
Вес заказа	Высота заказа	0	0	2	1, 51
Вес заказа	Высота заказа	0	0,1	2	25, 81
Вес заказа	Высота заказа	0	30	1	9
Вес заказа	Высота заказа	0	59,9	1	17
Вес заказа	Высота заказа	0	60	1	70
Вес заказа	Высота заказа	0	60,1	1	150
Вес заказа	Высота заказа	0	15	2	110, 172
Вес заказа	Высота заказа	0	29,9	2	93, 168
Вес заказа	Высота заказа	0	30,1	2	33, 171
Вес заказа	Высота заказа	0	45	1	59
Вес заказа	Высота заказа	0	Не заполнено	1	43
Вес заказа	Высота заказа	0,001	0	2	26, 44
Вес заказа	Высота заказа	0,001	0,1	1	2
Вес заказа	Высота заказа	0,001	30	2	18, 185
Вес заказа	Высота заказа	0,001	59,9	2	10, 186
Вес заказа	Высота заказа	0,001	60	2	111, 188
Вес заказа	Высота заказа	0,001	60,1	1	71
Вес заказа	Высота заказа	0,001	15	2	82, 142
Вес заказа	Высота заказа	0,001	29,9	1	151
Вес заказа	Высота заказа	0,001	30,1	2	60, 169
Вес заказа	Высота заказа	0,001	45	1	34
Вес заказа	Высота заказа	0,001	Не заполнено	1	52
Вес заказа	Высота заказа	7,5	0	2	11, 61
Вес заказа	Высота заказа	7,5	0,1	2	19, 94
Вес заказа	Высота заказа	7,5	30	1	3
Вес заказа	Высота заказа	7,5	59,9	2	27, 101
Вес заказа	Высота заказа	7,5	60	1	153
Вес заказа	Высота заказа	7,5	60,1	1	155
Вес заказа	Высота заказа	7,5	15	1	72
Вес заказа	Высота заказа	7,5	29,9	1	83
Вес заказа	Высота заказа	7,5	30,1	2	45, 143
Вес заказа	Высота заказа	7,5	45	2	53, 170
Вес заказа	Высота заказа	7,5	Не заполнено	1	35
Вес заказа	Высота заказа	14,999	0	2	20, 36
Вес заказа	Высота заказа	14,999	0,1	2	12, 183
Вес заказа	Высота заказа	14,999	30	2	28, 95
Вес заказа	Высота заказа	14,999	59,9	1	4
Вес заказа	Высота заказа	14,999	60	2	84, 182
Вес заказа	Высота заказа	14,999	60,1	1	102
Вес заказа	Высота заказа	14,999	15	3	144, 173, 180
Вес заказа	Высота заказа	14,999	29,9	1	73
Вес заказа	Высота заказа	14,999	30,1	1	54
Вес заказа	Высота заказа	14,999	45	2	46, 176
Вес заказа	Высота заказа	14,999	Не заполнено	2	62, 179
Вес заказа	Высота заказа	15	0	1	174
Вес заказа	Высота заказа	15	0,1	1	37
Вес заказа	Высота заказа	15	30	2	63, 85
Вес заказа	Высота заказа	15	59,9	3	47, 96, 184
Вес заказа	Высота заказа	15	60	2	5, 55
Вес заказа	Высота заказа	15	60,1	2	29, 187
Вес заказа	Высота заказа	15	15	1	13
Вес заказа	Высота заказа	15	29,9	2	21, 189
Вес заказа	Высота заказа	15	30,1	2	74, 147
Вес заказа	Высота заказа	15	45	2	103, 146
Вес заказа	Высота заказа	15	Не заполнено	1	145
Вес заказа	Высота заказа	15,001	0	1	86
Вес заказа	Высота заказа	15,001	0,1	1	64
Вес заказа	Высота заказа	15,001	30	1	38
Вес заказа	Высота заказа	15,001	59,9	2	56, 154
Вес заказа	Высота заказа	15,001	60	2	30, 48
Вес заказа	Высота заказа	15,001	60,1	1	6
Вес заказа	Высота заказа	15,001	15	1	22
Вес заказа	Высота заказа	15,001	29,9	1	14
Вес заказа	Высота заказа	15,001	30,1	1	104
Вес заказа	Высота заказа	15,001	45	2	75, 175
Вес заказа	Высота заказа	15,001	Не заполнено	1	97
Вес заказа	Высота заказа	5	0	1	76
Вес заказа	Высота заказа	5	0,1	2	49, 156
Вес заказа	Высота заказа	5	30	2	57, 177
Вес заказа	Высота заказа	5	59,9	1	39
Вес заказа	Высота заказа	5	60	2	15, 65
Вес заказа	Высота заказа	5	60,1	1	23
Вес заказа	Высота заказа	5	15	1	7
Вес заказа	Высота заказа	5	29,9	1	31
Вес заказа	Высота заказа	5	30,1	1	87
Вес заказа	Высота заказа	5	45	1	139
Вес заказа	Высота заказа	5	Не заполнено	2	112, 158
Вес заказа	Высота заказа	9,999	0	1	157
Вес заказа	Высота заказа	9,999	0,1	2	58, 77
Вес заказа	Высота заказа	9,999	30	2	50, 105
Вес заказа	Высота заказа	9,999	59,9	1	66
Вес заказа	Высота заказа	9,999	60	2	24, 40
Вес заказа	Высота заказа	9,999	60,1	1	16
Вес заказа	Высота заказа	9,999	15	1	32
Вес заказа	Высота заказа	9,999	29,9	1	8
Вес заказа	Высота заказа	9,999	30,1	2	98, 159
Вес заказа	Высота заказа	9,999	45	2	88, 161
Вес заказа	Высота заказа	9,999	Не заполнено	1	162
Вес заказа	Высота заказа	10	0	2	132, 135
Вес заказа	Высота заказа	10	0,1	1	106
Вес заказа	Высота заказа	10	30	1	160
Вес заказа	Высота заказа	10	59,9	1	117
Вес заказа	Высота заказа	10	60	1	128
Вес заказа	Высота заказа	10	60,1	1	41
Вес заказа	Высота заказа	10	15	2	89, 148
Вес заказа	Высота заказа	10	29,9	2	67, 124
Вес заказа	Высота заказа	10	30,1	1	99
Вес заказа	Высота заказа	10	45	1	113
Вес заказа	Высота заказа	10	Не заполнено	1	78
Вес заказа	Высота заказа	10,001	0	1	68
Вес заказа	Высота заказа	10,001	0,1	2	121, 181
Вес заказа	Высота заказа	10,001	30	1	125
Вес заказа	Высота заказа	10,001	59,9	1	136
Вес заказа	Высота заказа	10,001	60	1	130
Вес заказа	Высота заказа	10,001	60,1	2	79, 90
Вес заказа	Высота заказа	10,001	15	1	42
Вес заказа	Высота заказа	10,001	29,9	1	107
Вес заказа	Высота заказа	10,001	30,1	1	114
Вес заказа	Высота заказа	10,001	45	2	100, 163
Вес заказа	Высота заказа	10,001	Не заполнено	2	118, 178
Вес заказа	Высота заказа	12,5	0	1	140
Вес заказа	Высота заказа	12,5	0,1	1	164
Вес заказа	Высота заказа	12,5	30	1	137
Вес заказа	Высота заказа	12,5	59,9	1	126
Вес заказа	Высота заказа	12,5	60	1	122
Вес заказа	Высота заказа	12,5	60,1	1	69
Вес заказа	Высота заказа	12,5	15	2	80, 108
Вес заказа	Высота заказа	12,5	29,9	2	115, 133
Вес заказа	Высота заказа	12,5	30,1	1	119
Вес заказа	Высота заказа	12,5	45	1	166
Вес заказа	Высота заказа	12,5	Не заполнено	1	91
Вес заказа	Высота заказа	Не заполнено	0	1	120
Вес заказа	Высота заказа	Не заполнено	0,1	1	134
Вес заказа	Высота заказа	Не заполнено	30	1	138
Вес заказа	Высота заказа	Не заполнено	59,9	1	167
Вес заказа	Высота заказа	Не заполнено	60	1	141
Вес заказа	Высота заказа	Не заполнено	60,1	2	92, 131
Вес заказа	Высота заказа	Не заполнено	15	3	127, 149, 152
Вес заказа	Высота заказа	Не заполнено	29,9	1	129
Вес заказа	Высота заказа	Не заполнено	30,1	1	123
Вес заказа	Высота заказа	Не заполнено	45	1	116
Вес заказа	Высота заказа	Не заполнено	Не заполнено	2	109, 165
Вес заказа	Длина заказа	0	0	2	1, 43
Вес заказа	Длина заказа	0	0,1	1	17
Вес заказа	Длина заказа	0	20	2	25, 168
Вес заказа	Длина заказа	0	39,9	2	9, 93
Вес заказа	Длина заказа	0	40	1	70
Вес заказа	Длина заказа	0	40,1	2	150, 171
Вес заказа	Длина заказа	0	10	1	81
Вес заказа	Длина заказа	0	19,9	1	172
Вес заказа	Длина заказа	0	20,1	2	33, 110
Вес заказа	Длина заказа	0	30	1	51
Вес заказа	Длина заказа	0	Не заполнено	1	59
Вес заказа	Длина заказа	0,001	0	2	18, 60
Вес заказа	Длина заказа	0,001	0,1	1	2
Вес заказа	Длина заказа	0,001	20	1	10
Вес заказа	Длина заказа	0,001	39,9	2	26, 71
Вес заказа	Длина заказа	0,001	40	2	169, 185
Вес заказа	Длина заказа	0,001	40,1	2	142, 186
Вес заказа	Длина заказа	0,001	10	2	151, 188
Вес заказа	Длина заказа	0,001	19,9	1	82
Вес заказа	Длина заказа	0,001	20,1	1	52
Вес заказа	Длина заказа	0,001	30	1	34
Вес заказа	Длина заказа	0,001	Не заполнено	2	44, 111
Вес заказа	Длина заказа	7,5	0	2	27, 53
Вес заказа	Длина заказа	7,5	0,1	2	11, 72
Вес заказа	Длина заказа	7,5	20	1	3
Вес заказа	Длина заказа	7,5	39,9	1	19
Вес заказа	Длина заказа	7,5	40	2	143, 155
Вес заказа	Длина заказа	7,5	40,1	1	153
Вес заказа	Длина заказа	7,5	10	1	170
Вес заказа	Длина заказа	7,5	19,9	1	101
Вес заказа	Длина заказа	7,5	20,1	2	61, 94
Вес заказа	Длина заказа	7,5	30	2	45, 83
Вес заказа	Длина заказа	7,5	Не заполнено	1	35
Вес заказа	Длина заказа	14,999	0	1	12
Вес заказа	Длина заказа	14,999	0,1	2	28, 144
Вес заказа	Длина заказа	14,999	20	1	20
Вес заказа	Длина заказа	14,999	39,9	3	4, 179, 180
Вес заказа	Длина заказа	14,999	40	1	36
Вес заказа	Длина заказа	14,999	40,1	1	183
Вес заказа	Длина заказа	14,999	10	1	182
Вес заказа	Длина заказа	14,999	19,9	2	73, 176
Вес заказа	Длина заказа	14,999	20,1	2	46, 84
Вес заказа	Длина заказа	14,999	30	3	62, 95, 102
Вес заказа	Длина заказа	14,999	Не заполнено	2	54, 173
Вес заказа	Длина заказа	15	0	2	145, 187
Вес заказа	Длина заказа	15	0,1	1	85
Вес заказа	Длина заказа	15	20	2	55, 184
Вес заказа	Длина заказа	15	39,9	2	103, 146
Вес заказа	Длина заказа	15	40	3	5, 47, 189
Вес заказа	Длина заказа	15	40,1	2	21, 37
Вес заказа	Длина заказа	15	10	1	29
Вес заказа	Длина заказа	15	19,9	2	13, 63
Вес заказа	Длина заказа	15	20,1	1	74
Вес заказа	Длина заказа	15	30	2	147, 174
Вес заказа	Длина заказа	15	Не заполнено	1	96
Вес заказа	Длина заказа	15,001	0	1	154
Вес заказа	Длина заказа	15,001	0,1	1	48
Вес заказа	Длина заказа	15,001	20	1	97
Вес заказа	Длина заказа	15,001	39,9	1	86
Вес заказа	Длина заказа	15,001	40	2	22, 64
Вес заказа	Длина заказа	15,001	40,1	2	6, 56
Вес заказа	Длина заказа	15,001	10	2	14, 38
Вес заказа	Длина заказа	15,001	19,9	1	30
Вес заказа	Длина заказа	15,001	20,1	1	175
Вес заказа	Длина заказа	15,001	30	1	75
Вес заказа	Длина заказа	15,001	Не заполнено	1	104
Вес заказа	Длина заказа	5	0	1	156
Вес заказа	Длина заказа	5	0,1	1	158
Вес заказа	Длина заказа	5	20	2	76, 87
Вес заказа	Длина заказа	5	39,9	1	65
Вес заказа	Длина заказа	5	40	2	31, 57
Вес заказа	Длина заказа	5	40,1	1	15
Вес заказа	Длина заказа	5	10	2	7, 49
Вес заказа	Длина заказа	5	19,9	2	23, 39
Вес заказа	Длина заказа	5	20,1	1	112
Вес заказа	Длина заказа	5	30	1	177
Вес заказа	Длина заказа	5	Не заполнено	1	139
Вес заказа	Длина заказа	9,999	0	1	40
Вес заказа	Длина заказа	9,999	0,1	1	88
Вес заказа	Длина заказа	9,999	20	2	157, 161
Вес заказа	Длина заказа	9,999	39,9	1	159
Вес заказа	Длина заказа	9,999	40	1	16
Вес заказа	Длина заказа	9,999	40,1	2	32, 50
Вес заказа	Длина заказа	9,999	10	3	24, 66, 98
Вес заказа	Длина заказа	9,999	19,9	2	8, 58
Вес заказа	Длина заказа	9,999	20,1	1	105
Вес заказа	Длина заказа	9,999	30	1	162
Вес заказа	Длина заказа	9,999	Не заполнено	1	77
Вес заказа	Длина заказа	10	0	1	67
Вес заказа	Длина заказа	10	0,1	2	41, 106
Вес заказа	Длина заказа	10	20	1	148
Вес заказа	Длина заказа	10	39,9	1	128
Вес заказа	Длина заказа	10	40	1	135
Вес заказа	Длина заказа	10	40,1	1	78
Вес заказа	Длина заказа	10	10	1	132
Вес заказа	Длина заказа	10	19,9	1	99
Вес заказа	Длина заказа	10	20,1	2	124, 160
Вес заказа	Длина заказа	10	30	2	113, 117
Вес заказа	Длина заказа	10	Не заполнено	1	89
Вес заказа	Длина заказа	10,001	0	1	79
Вес заказа	Длина заказа	10,001	0,1	2	100, 136
Вес заказа	Длина заказа	10,001	20	2	42, 130
Вес заказа	Длина заказа	10,001	39,9	1	114
Вес заказа	Длина заказа	10,001	40	1	163
Вес заказа	Длина заказа	10,001	40,1	1	68
Вес заказа	Длина заказа	10,001	10	1	181
Вес заказа	Длина заказа	10,001	19,9	1	118
Вес заказа	Длина заказа	10,001	20,1	2	90, 107
Вес заказа	Длина заказа	10,001	30	1	121
Вес заказа	Длина заказа	10,001	Не заполнено	2	125, 178
Вес заказа	Длина заказа	12,5	0	1	133
Вес заказа	Длина заказа	12,5	0,1	1	119
Вес заказа	Длина заказа	12,5	20	2	69, 164
Вес заказа	Длина заказа	12,5	39,9	1	137
Вес заказа	Длина заказа	12,5	40	1	91
Вес заказа	Длина заказа	12,5	40,1	2	122, 166
Вес заказа	Длина заказа	12,5	10	1	80
Вес заказа	Длина заказа	12,5	19,9	1	140
Вес заказа	Длина заказа	12,5	20,1	1	126
Вес заказа	Длина заказа	12,5	30	1	108
Вес заказа	Длина заказа	12,5	Не заполнено	1	115
Вес заказа	Длина заказа	Не заполнено	0	2	127, 138
Вес заказа	Длина заказа	Не заполнено	0,1	2	129, 152
Вес заказа	Длина заказа	Не заполнено	20	1	123
Вес заказа	Длина заказа	Не заполнено	39,9	2	131, 134
Вес заказа	Длина заказа	Не заполнено	40	1	120
Вес заказа	Длина заказа	Не заполнено	40,1	1	109
Вес заказа	Длина заказа	Не заполнено	10	2	116, 165
Вес заказа	Длина заказа	Не заполнено	19,9	1	167
Вес заказа	Длина заказа	Не заполнено	20,1	1	149
Вес заказа	Длина заказа	Не заполнено	30	1	141
Вес заказа	Длина заказа	Не заполнено	Не заполнено	1	92
Вес заказа	Адрес	0	город из РФ на латинице (Novosibirsk)	2	1, 17
Вес заказа	Адрес	0	город из РФ на кириллице (Новосибирск)	2	43, 93
Вес заказа	Адрес	0	город не из РФ на латинице (Minsk)	2	33, 51
Вес заказа	Адрес	0	город не из РФ на кириллице (Минск)	2	59, 171
Вес заказа	Адрес	0	Верхний регистр, любой алфавит (МОСКВА)	2	9, 25
Вес заказа	Адрес	0	Нижний регистр, любой алфавит (almaty)	2	81, 172
Вес заказа	Адрес	0	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	70, 168
Вес заказа	Адрес	0	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	110, 150
Вес заказа	Адрес	0,001	город из РФ на латинице (Novosibirsk)	3	71, 151, 185
Вес заказа	Адрес	0,001	город из РФ на кириллице (Новосибирск)	3	2, 18, 186
Вес заказа	Адрес	0,001	город не из РФ на латинице (Minsk)	2	60, 142
Вес заказа	Адрес	0,001	город не из РФ на кириллице (Минск)	2	34, 111
Вес заказа	Адрес	0,001	Верхний регистр, любой алфавит (МОСКВА)	1	82
Вес заказа	Адрес	0,001	Нижний регистр, любой алфавит (almaty)	2	10, 26
Вес заказа	Адрес	0,001	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	52, 188
Вес заказа	Адрес	0,001	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	44, 169
Вес заказа	Адрес	7,5	город из РФ на латинице (Novosibirsk)	2	35, 53
Вес заказа	Адрес	7,5	город из РФ на кириллице (Новосибирск)	2	61, 101
Вес заказа	Адрес	7,5	город не из РФ на латинице (Minsk)	2	3, 19
Вес заказа	Адрес	7,5	город не из РФ на кириллице (Минск)	2	94, 155
Вес заказа	Адрес	7,5	Верхний регистр, любой алфавит (МОСКВА)	2	45, 72
Вес заказа	Адрес	7,5	Нижний регистр, любой алфавит (almaty)	2	143, 153
Вес заказа	Адрес	7,5	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	11, 27
Вес заказа	Адрес	7,5	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	83, 170
Вес заказа	Адрес	14,999	город из РФ на латинице (Novosibirsk)	2	73, 84
Вес заказа	Адрес	14,999	город из РФ на кириллице (Новосибирск)	2	36, 173
Вес заказа	Адрес	14,999	город не из РФ на латинице (Minsk)	2	144, 176
Вес заказа	Адрес	14,999	город не из РФ на кириллице (Минск)	3	4, 20, 182
Вес заказа	Адрес	14,999	Верхний регистр, любой алфавит (МОСКВА)	2	54, 179
Вес заказа	Адрес	14,999	Нижний регистр, любой алфавит (almaty)	2	46, 62
Вес заказа	Адрес	14,999	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	95, 180
Вес заказа	Адрес	14,999	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	4	12, 28, 102, 183
Вес заказа	Адрес	15	город из РФ на латинице (Novosibirsk)	3	13, 29, 184
Вес заказа	Адрес	15	город из РФ на кириллице (Новосибирск)	2	55, 147
Вес заказа	Адрес	15	город не из РФ на латинице (Minsk)	3	47, 63, 174
Вес заказа	Адрес	15	город не из РФ на кириллице (Минск)	2	74, 145
Вес заказа	Адрес	15	Верхний регистр, любой алфавит (МОСКВА)	4	5, 21, 187, 189
Вес заказа	Адрес	15	Нижний регистр, любой алфавит (almaty)	2	96, 146
Вес заказа	Адрес	15	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	37, 85
Вес заказа	Адрес	15	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	103
Вес заказа	Адрес	15,001	город из РФ на латинице (Novosibirsk)	2	64, 97
Вес заказа	Адрес	15,001	город из РФ на кириллице (Новосибирск)	2	14, 30
Вес заказа	Адрес	15,001	город не из РФ на латинице (Minsk)	2	75, 154
Вес заказа	Адрес	15,001	город не из РФ на кириллице (Минск)	1	48
Вес заказа	Адрес	15,001	Верхний регистр, любой алфавит (МОСКВА)	1	86
Вес заказа	Адрес	15,001	Нижний регистр, любой алфавит (almaty)	3	6, 22, 38
Вес заказа	Адрес	15,001	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	104, 175
Вес заказа	Адрес	15,001	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	1	56
Вес заказа	Адрес	5	город из РФ на латинице (Novosibirsk)	1	49
Вес заказа	Адрес	5	город из РФ на кириллице (Новосибирск)	1	87
Вес заказа	Адрес	5	город не из РФ на латинице (Minsk)	2	15, 31
Вес заказа	Адрес	5	город не из РФ на кириллице (Минск)	2	57, 177
Вес заказа	Адрес	5	Верхний регистр, любой алфавит (МОСКВА)	3	39, 112, 156
Вес заказа	Адрес	5	Нижний регистр, любой алфавит (almaty)	2	76, 158
Вес заказа	Адрес	5	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	7, 23
Вес заказа	Адрес	5	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	65, 139
Вес заказа	Адрес	9,999	город из РФ на латинице (Novosibirsk)	2	105, 159
Вес заказа	Адрес	9,999	город из РФ на кириллице (Новосибирск)	2	77, 161
Вес заказа	Адрес	9,999	город не из РФ на латинице (Minsk)	2	88, 98
Вес заказа	Адрес	9,999	город не из РФ на кириллице (Минск)	2	16, 32
Вес заказа	Адрес	9,999	Верхний регистр, любой алфавит (МОСКВА)	2	66, 157
Вес заказа	Адрес	9,999	Нижний регистр, любой алфавит (almaty)	2	40, 58
Вес заказа	Адрес	9,999	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	50, 162
Вес заказа	Адрес	9,999	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	8, 24
Вес заказа	Адрес	10	город из РФ на латинице (Novosibirsk)	2	89, 128
Вес заказа	Адрес	10	город из РФ на кириллице (Новосибирск)	2	78, 135
Вес заказа	Адрес	10	город не из РФ на латинице (Minsk)	1	41
Вес заказа	Адрес	10	город не из РФ на кириллице (Минск)	2	67, 132
Вес заказа	Адрес	10	Верхний регистр, любой алфавит (МОСКВА)	2	117, 160
Вес заказа	Адрес	10	Нижний регистр, любой алфавит (almaty)	1	106
Вес заказа	Адрес	10	Название города через один дефис, любой алфавит (Санкт-Петербург)	2	113, 124
Вес заказа	Адрес	10	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	2	99, 148
Вес заказа	Адрес	10,001	город из РФ на латинице (Novosibirsk)	2	68, 121
